order_id,customer_id,order_date,total_amount
1,27,2025-04-23,875.86
2,22,2024-04-21,870.06
3,16,2024-03-18,4859.38
4,11,2025-01-23,3117.99
5,30,2024-10-19,2598.66
6,38,2025-05-03,798.36
7,44,2024-08-28,6066.45
8,14,2024-11-17,1493.03
9,49,2024-03-15,3341.35
10,7,2024-03-16,1421.03
11,24,2024-10-18,4338.34
12,36,2024-11-02,1184.4
13,7,2025-07-20,5084.87
14,41,2024-09-27,3681.88
15,28,2025-07-28,104.62
16,45,2024-06-01,828.2
17,28,2024-05-10,53.22
18,3,2025-01-01,5652.45
19,48,2024-06-07,2437.08
20,27,2024-09-11,5637.27
21,15,2024-08-16,140.08
22,5,2024-10-12,3214.31
23,17,2024-02-09,3345.8
24,21,2025-03-22,4491.4
25,3,2025-03-22,5048.8
26,48,2024-07-20,3387.12
27,43,2025-02-22,5143.36
28,20,2025-02-19,46.44
29,38,2025-09-13,5396.6
30,41,2025-09-26,2473.74
31,40,2024-03-15,3163.31
32,15,2024-06-29,6349.66
33,47,2025-05-31,8680.66
34,16,2024-10-08,8129.44
35,5,2025-02-28,5583.63
36,49,2025-08-12,7927.83
37,18,2025-03-22,6745.99
38,43,2024-01-28,227.02
39,12,2024-02-21,7572.08
40,6,2025-04-26,423.22
41,23,2024-08-17,307.66
42,13,2024-01-21,4602.44
43,30,2024-09-19,1664.26
44,25,2025-02-10,3358.31
45,39,2024-05-03,1709.4
46,24,2024-03-11,3999.42
47,28,2024-06-29,5856.17
48,6,2024-10-12,8234.14
49,22,2024-10-13,5608.02
50,42,2025-05-17,7836.9
51,48,2025-07-17,3268.04
52,35,2024-07-08,4772.02
53,7,2024-07-17,3086.81
54,36,2024-10-26,4301.12
55,22,2024-07-07,842.48
56,5,2025-02-14,4444.74
57,40,2024-08-19,3493.64
58,17,2024-03-24,3014.91
59,45,2025-08-31,6306.77
60,35,2024-08-18,661.86
61,37,2024-10-22,4200.68
62,39,2024-09-13,1485.48
63,37,2025-08-24,2694.05
64,49,2024-06-28,12296.62
65,7,2024-06-13,4536.88
66,21,2024-04-28,7246.11
67,36,2024-05-14,4995.62
68,1,2025-07-19,4087.36
69,31,2025-04-28,3974.28
70,9,2024-03-12,5271.23
71,43,2025-05-16,5315.78
72,25,2025-04-11,5595.6
73,25,2025-01-30,2829.54
74,7,2025-03-26,3516.12
75,10,2025-02-23,5478.99
76,22,2025-06-30,6782.75
77,46,2024-04-12,2283.21
78,44,2024-07-03,6264.9
79,32,2025-08-20,2600.5
80,30,2024-10-21,5051.43
81,28,2024-09-13,5542.92
82,43,2025-02-09,6475.48
83,23,2024-08-12,1412.52
84,29,2024-02-04,6987.24
85,24,2025-06-27,4975.09
86,10,2024-08-19,3716.05
87,15,2025-04-27,2807.85
88,40,2024-08-14,1877.49
89,8,2024-05-23,930.84
90,8,2024-04-09,3628.62
91,48,2024-06-07,7319.31
92,44,2025-01-11,2986.4
93,39,2024-01-22,1539.42
94,37,2024-07-29,1132.26
95,15,2024-12-02,4186.34
96,35,2024-09-13,244.26
97,2,2024-06-27,1797.59
98,7,2025-04-07,3050.04
99,31,2025-02-15,8540.79
100,21,2025-01-25,7320.96
